time_step,L_total
33,2.933693148505561e+76
34,4.550237994413676e+76
35,4.972954418015035e+76
36,2.162755115426934e+76
37,6.509355318332762e+75
38,8.123025175405468e+75
39,1.300935242260087e+76
40,4.247157074453123e+75
41,4.947822578451125e+75
