time_step,H_total
33,8.447500184153438e+252
34,8.447500184153438e+252
35,8.447500184153438e+252
36,8.447500184153438e+252
37,8.447500184153438e+252
38,8.447500184153438e+252
39,8.447500184153438e+252
40,8.447500184153438e+252
41,8.447500184153438e+252
